EMAPA:30445,Urogenital,epithelium of epididymis
EMAPA:35319,Urogenital,epithelium of paramesonephric duct of female
EMAPA:30070,Urogenital,epithelium of paramesonephric duct of female, mesonephric portion
EMAPA:35320,Urogenital,epithelium of paramesonephric duct of male
EMAPA:28949,Urogenital,epithelium of rest of nephric duct of female
EMAPA:29181,Urogenital,epithelium of rest of nephric duct of male
EMAPA:28957,Urogenital,epithelium of rest of paramesonephric duct of female
EMAPA:29187,Urogenital,epithelium of rest of paramesonephric duct of male
EMAPA:31520,Urogenital,epithelium of urogenital sinus
EMAPA:31509,Urogenital,epithelium of urogenital sinus
EMAPA:30991,Urogenital,epithelium of vagina
EMAPA:28278,Urogenital,extraglomerular mesangium
EMAPA:28540,Urogenital,female associated reproductive structure
EMAPA:18978,Urogenital,female cystic vesicular appendage
EMAPA:30984,Urogenital,female external genitalia
EMAPA:19174,Urogenital,female external inguinal ring
EMAPA:19171,Urogenital,female inguinal canal
EMAPA:19172,Urogenital,female inguinal ring
EMAPA:19173,Urogenital,female internal inguinal ring
EMAPA:35341,Urogenital,female paramesonephric duct
EMAPA:17959,Urogenital,female reproductive system
EMAPA:35962,Urogenital,female reproductive system epithelium
EMAPA:35974,Urogenital,female reproductive system mesenchyme
EMAPA:29653,Urogenital,female urethral gland
EMAPA:19175,Urogenital,fetal Leydig cell
EMAPA:29067,Urogenital,follicle cell of primary follicle
EMAPA:31247,Urogenital,follicle cell of primordial follicle
EMAPA:29866,Urogenital,follicle cell of secondary follicle
EMAPA:30767,Urogenital,follicle cell of tertiary follicle
EMAPA:35377,Urogenital,genital swelling
EMAPA:30074,Urogenital,genital swelling
EMAPA:17382,Urogenital,genital tubercle
EMAPA:29621,Urogenital,genital tubercle mesenchyme of female
EMAPA:29167,Urogenital,genital tubercle mesenchyme of male
EMAPA:18680,Urogenital,genital tubercle of female
EMAPA:17969,Urogenital,genital tubercle of male
EMAPA:29626,Urogenital,genital tubercle surface epithelium of female
EMAPA:29170,Urogenital,genital tubercle surface epithelium of male
EMAPA:16367,Urogenital,genitourinary system
EMAPA:35954,Urogenital,genitourinary system epithelium
EMAPA:16576,Urogenital,genitourinary system mesenchyme
EMAPA:36000,Urogenital,germ cell of gonad
EMAPA:17965,Urogenital,germ cell of ovary
EMAPA:18686,Urogenital,germ cell of testis
EMAPA:17975,Urogenital,germ cell of testis
EMAPA:30781,Urogenital,germinal cell of mature follicle
EMAPA:29884,Urogenital,germinal cell of ruptured follicle
EMAPA:30843,Urogenital,gland of labia
EMAPA:29935,Urogenital,gland of lower vaginal epithelium
EMAPA:29941,Urogenital,gland of upper vaginal epithelium
EMAPA:29798,Urogenital,glandular epithelium of anterior prostate
EMAPA:29812,Urogenital,glandular epithelium of dorsal prostate
EMAPA:29826,Urogenital,glandular epithelium of lateral prostate
EMAPA:29840,Urogenital,glandular epithelium of ventral prostate
EMAPA:30829,Urogenital,glans clitoris
EMAPA:19170,Urogenital,glans clitoris
EMAPA:30630,Urogenital,glans mesenchyme of male
EMAPA:29252,Urogenital,glans of male genital tubercle
EMAPA:18988,Urogenital,glans penis
EMAPA:29288,Urogenital,glans penis
EMAPA:30632,Urogenital,glans surface epithelium of male
EMAPA:30965,Urogenital,glomerular basement membrane
EMAPA:28251,Urogenital,glomerular basement membrane
EMAPA:28245,Urogenital,glomerular capillary system
EMAPA:27955,Urogenital,glomerular capillary system of maturing glomerular tuft
EMAPA:28248,Urogenital,glomerular mesangium of glomerular tuft
EMAPA:27961,Urogenital,glomerular mesangium of maturing glomerular tuft
EMAPA:30031,Urogenital,glomerular mesangium of maturing renal corpuscle
EMAPA:28239,Urogenital,glomerular tuft
EMAPA:17383,Urogenital,gonad
EMAPA:35382,Urogenital,gonad germinal epithelium
EMAPA:16857,Urogenital,gonad primordium
EMAPA:16858,Urogenital,gonad primordium mesenchyme
EMAPA:17385,Urogenital,gonadal mesenchyme
