ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:31574,Renal,"mesenchymal layer of ventral pelvic urethra"
EMAPA:31553,Renal,"mesenchymal layer of ventral pelvic urethra of female"
EMAPA:31550,Renal,"mesenchymal layer of ventral pelvic urethra of male"
EMAPA:31525,Renal,"mesenchymal layer of ventral primitive bladder"
EMAPA:32287,Renal,"mesenchymal pad of pelvic urethra of female"
EMAPA:32280,Renal,"mesenchymal pad of pelvic urethra of male"
EMAPA:31573,Renal,"mesenchyme of pelvic urethra"
EMAPA:31500,Renal,"mesenchyme of urogenital sinus"
EMAPA:31519,Renal,"mesenchyme of urogenital sinus"
EMAPA:30568,Renal,"mesonephric glomerulus"
EMAPA:27585,Renal,"mesonephric mesenchyme"
EMAPA:16747,Renal,"mesonephric tubule"
EMAPA:27588,Renal,"mesonephric tubule"
EMAPA:16744,Renal,mesonephros
EMAPA:16745,Renal,"mesonephros mesenchyme"
EMAPA:16746,Renal,"mesonephros non-tubular part"
EMAPA:35564,Renal,"mesonephros non-tubular part"
EMAPA:17208,Renal,"metanephric mesenchyme"
EMAPA:17375,Renal,"metanephric mesenchyme"
EMAPA:29990,Renal,"metanephric mesenchyme"
EMAPA:17207,Renal,metanephros
EMAPA:17373,Renal,metanephros
EMAPA:35457,Renal,"metanephros epithelium"
EMAPA:35458,Renal,"metanephros glomerular epithelium"
EMAPA:35969,Renal,"metanephros parietal epithelium"
EMAPA:35970,Renal,"metanephros visceral epithelium"
EMAPA:18678,Renal,"minor calyx"
EMAPA:25765,Renal,mouse
EMAPA:31577,Renal,"muscle layer of dorsal pelvic urethra"
EMAPA:31560,Renal,"muscle layer of dorsal pelvic urethra of female"
EMAPA:31556,Renal,"muscle layer of dorsal pelvic urethra of male"
EMAPA:30909,Renal,"muscle layer of pelvic urethra"
EMAPA:28771,Renal,"muscle layer of pelvic urethra of female"
EMAPA:28709,Renal,"muscle layer of pelvic urethra of male"
EMAPA:30950,Renal,"muscle layer of penile urethra"
EMAPA:30938,Renal,"muscle layer of phallic urethra of female"
EMAPA:28859,Renal,"muscle layer of phallic urethra of male"
EMAPA:30956,Renal,"muscle layer of prostatic urethra"
EMAPA:31576,Renal,"muscle layer of ventral pelvic urethra"
EMAPA:31559,Renal,"muscle layer of ventral pelvic urethra of female"
EMAPA:31555,Renal,"muscle layer of ventral pelvic urethra of male"
EMAPA:28619,Renal,"muscularis mucosa of bladder"
EMAPA:32295,Renal,"muscularis mucosa of dorsal pelvic urethra of female"
EMAPA:32312,Renal,"muscularis mucosa of dorsal pelvic urethra of male"
EMAPA:28625,Renal,"muscularis mucosa of fundus"
EMAPA:30137,Renal,"muscularis mucosa of neck"
EMAPA:32302,Renal,"muscularis mucosa of prostatic urethra"
EMAPA:28631,Renal,"muscularis mucosa of trigone"
EMAPA:32309,Renal,"muscularis mucosa of ventral pelvic urethra of female"
EMAPA:32297,Renal,"muscularis mucosa of ventral pelvic urethra of male"
EMAPA:16368,Renal,"nephric cord"
EMAPA:16577,Renal,"nephric duct"
EMAPA:28425,Renal,"nephric duct"
EMAPA:28429,Renal,"nephric duct"
EMAPA:27591,Renal,"nephric duct, mesonephric portion"
EMAPA:27663,Renal,"nephric duct, mesonephric portion"
EMAPA:17377,Renal,"nephric duct, metanephric portion"
EMAPA:27599,Renal,"nephric duct, metanephric portion"
EMAPA:27602,Renal,"nephric duct, pronephric portion"
EMAPA:27671,Renal,"nephrogenic interstitium"
EMAPA:31270,Renal,"nephrogenic interstitium"
EMAPA:17953,Renal,"nephrogenic interstitium"
EMAPA:27721,Renal,"nephrogenic zone"
EMAPA:31562,Renal,"nephrogenic zone group"
EMAPA:35592,Renal,nephron
EMAPA:31526,Renal,"nerve of bladder"
EMAPA:31557,Renal,"nerve of caudal urethra"
EMAPA:31523,Renal,"nerve of pelvic urethra"
EMAPA:31558,Renal,"nerve of pelvic urethra"
EMAPA:31567,Renal,"nerve of pelvic urethra of female"
EMAPA:31565,Renal,"nerve of pelvic urethra of male"
EMAPA:35058,Renal,"nerve of penile urethra"
EMAPA:31524,Renal,"nerve of phallic urethra"
EMAPA:31551,Renal,"nerve of phallic urethra of female"
EMAPA:31568,Renal,"nerve of phallic urethra of male"
EMAPA:35042,Renal,"nerve of primitive bladder"
EMAPA:32279,Renal,"nerve of prostatic urethra"
EMAPA:35059,Renal,"nerve of ureter"
EMAPA:35948,Renal,"nerve of urinary system"
EMAPA:31528,Renal,"nerve of urogenital sinus"
EMAPA:31569,Renal,"nerves of urethra"
EMAPA:31533,Renal,"nerves of urogenital sinus"
EMAPA:32288,Renal,"neural crest derivative of pelvic urethra of female"
EMAPA:32286,Renal,"neural crest derivative of pelvic urethra of male"
EMAPA:16103,Renal,"organ system"
EMAPA:28346,Renal,"outer medullary collecting duct"
EMAPA:31384,Renal,"outer medullary fibroblast"
EMAPA:28337,Renal,"outer medullary interstitium"
EMAPA:28310,Renal,"outer renal medulla"
EMAPA:29663,Renal,"outer stripe of outer medulla"
EMAPA:35655,Renal,"papillary duct"
EMAPA:27615,Renal,"parametanephric mesenchyme"
EMAPA:27919,Renal,"parietal epithelium of capillary loop renal corpuscle"
EMAPA:27774,Renal,"parietal epithelium of capillary loop renal corpuscle"
EMAPA:28260,Renal,"parietal epithelium of mature renal corpuscle"
EMAPA:27979,Renal,"parietal epithelium of maturing renal corpuscle"
EMAPA:27768,Renal,"parietal epithelium of s-shaped body"
EMAPA:27901,Renal,"parietal epithelium of s-shaped body"
EMAPA:28269,Renal,"part of afferent arteriole forming the juxtaglomerular complex"
EMAPA:31527,Renal,"pelvic ganglion"
EMAPA:31522,Renal,"pelvic ganglion"
EMAPA:28120,Renal,"pelvic smooth muscle"
EMAPA:30903,Renal,"pelvic urethra"
EMAPA:30893,Renal,"pelvic urethra"
EMAPA:28753,Renal,"pelvic urethra of female"
EMAPA:18995,Renal,"pelvic urethra of male"
EMAPA:28077,Renal,"pelvic urothelial lining"
EMAPA:30944,Renal,"penile urethra"
EMAPA:31426,Renal,"periarterial fibroblasts of cortex"
EMAPA:31434,Renal,"periarterial fibroblasts of inner medulla"
EMAPA:31430,Renal,"periarterial fibroblasts of outer medulla"
EMAPA:31361,Renal,"perihilar fibroblast"
EMAPA:28083,Renal,"perihilar interstitium"
EMAPA:27623,Renal,"peripheral blastema"
EMAPA:31424,Renal,"peritubular fibroblasts of cortex"
EMAPA:31432,Renal,"peritubular fibroblasts of inner medulla"
EMAPA:31428,Renal,"peritubular fibroblasts of outer medulla"
EMAPA:30911,Renal,"phallic urethra"
EMAPA:30917,Renal,"phallic urethra of female"
EMAPA:17956,Renal,"phallic urethra of male"
EMAPA:27570,Renal,"posterior gonadal mesenchyme"
EMAPA:28402,Renal,"postmacula segment of distal straight tubule"
EMAPA:29683,Renal,"premacula segment of distal straight tubule of inner stripe of inner medulla"
EMAPA:28331,Renal,"premacula segment of distal straight tubule of outer medulla"
EMAPA:31379,Renal,"premacula segment of distal straight tubule of renal cortex"
EMAPA:27937,Renal,"presumptive endothelium of capillary loop renal corpuscle"
EMAPA:27780,Renal,"presumptive endothelium of renal corpuscle"
EMAPA:27778,Renal,"presumptive mesangium"
EMAPA:27931,Renal,"presumptive mesangium of capillary loop renal corpuscle"
EMAPA:16369,Renal,"presumptive nephric duct"
EMAPA:27673,Renal,"pretubular aggregate"
EMAPA:27742,Renal,"pretubular aggregate"
EMAPA:30870,Renal,"primitive bladder"
EMAPA:17646,Renal,"primitive collecting duct"
EMAPA:28477,Renal,"primitive collecting duct group"
EMAPA:16859,Renal,"primordial germ cell"
EMAPA:16578,Renal,"primordial germ cell"
EMAPA:16579,Renal,pronephros
EMAPA:30942,Renal,"prostatic urethra"
EMAPA:31547,Renal,"proximal renal vesicle"
EMAPA:31549,Renal,"proximal renal vesicle"
EMAPA:27883,Renal,"proximal segment of s-shaped body"
EMAPA:27764,Renal,"proximal segment of s-shaped body"
EMAPA:29669,Renal,"proximal straight tubule of outer stripe of outer medulla"
EMAPA:29661,Renal,"proximal straight tubule of renal cortex"
EMAPA:28862,Renal,"proximal straight tubule, outer medullary portion"
EMAPA:31436,Renal,"renal arterial system"
EMAPA:28373,Renal,"renal artery"
EMAPA:17862,Renal,"renal artery"
EMAPA:31443,Renal,"renal capillary"
EMAPA:18679,Renal,"renal capsule"
EMAPA:31545,Renal,"renal connecting segment of comma-shaped body"
EMAPA:31546,Renal,"renal connecting segment of comma-shaped body"
