ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:16355,"Whole mouse","anterior cardinal vein"
EMAPA:16241,"Whole mouse","anterior cardinal vein"
EMAPA:18614,"Whole mouse","anterior cerebral artery"
EMAPA:17854,"Whole mouse","anterior cerebral artery"
EMAPA:19038,"Whole mouse","anterior commissure"
EMAPA:18599,"Whole mouse","anterior communicating artery"
EMAPA:35128,"Whole mouse","anterior cortical amygdaloid nucleus"
EMAPA:35129,"Whole mouse","anterior dorsal thalamic nucleus"
EMAPA:19199,"Whole mouse","anterior fontanelle"
EMAPA:27566,"Whole mouse","anterior gonadal mesenchyme"
EMAPA:27653,"Whole mouse","anterior gonadal mesenchyme"
EMAPA:17770,"Whole mouse","anterior horn of lateral ventricle"
EMAPA:18779,"Whole mouse","anterior horn of lateral ventricle choroid plexus"
EMAPA:17842,"Whole mouse","anterior lens fiber"
EMAPA:35130,"Whole mouse","anterior medial cortex"
EMAPA:18594,"Whole mouse","anterior naris"
EMAPA:18595,"Whole mouse","anterior naris epithelium"
EMAPA:35131,"Whole mouse","anterior olfactory nucleus"
EMAPA:16149,"Whole mouse","anterior pro-rhombomere"
EMAPA:16150,"Whole mouse","anterior pro-rhombomere floor plate"
EMAPA:16152,"Whole mouse","anterior pro-rhombomere neural crest"
EMAPA:16151,"Whole mouse","anterior pro-rhombomere neural fold"
EMAPA:29794,"Whole mouse","anterior prostate gland"
EMAPA:29796,"Whole mouse","anterior prostatic epithelium"
EMAPA:29802,"Whole mouse","anterior prostatic interstitium"
EMAPA:18242,"Whole mouse","anterior spinal artery"
EMAPA:35132,"Whole mouse","anterior thalamic group"
EMAPA:35133,"Whole mouse","anterior ventral thalamic nucleus"
EMAPA:30789,"Whole mouse","antrum of mature follicle"
EMAPA:30771,"Whole mouse","antrum of tertiary follicle"
EMAPA:18601,"Whole mouse",aorta
EMAPA:35134,"Whole mouse","aorta endothelium"
EMAPA:35135,"Whole mouse","aorta smooth muscle"
EMAPA:35136,"Whole mouse","aorta tunica adventitia"
EMAPA:35137,"Whole mouse","aorta tunica intima"
EMAPA:35138,"Whole mouse","aorta tunica media"
EMAPA:35139,"Whole mouse","aorta wall"
EMAPA:18625,"Whole mouse","aortic sinus"
EMAPA:17870,"Whole mouse","aortic valve"
EMAPA:18627,"Whole mouse","aortic valve leaflet"
EMAPA:16827,"Whole mouse","aortico-pulmonary spiral septum"
EMAPA:35140,"Whole mouse","apex of cecum"
EMAPA:32744,"Whole mouse","apical ectodermal ridge"
EMAPA:35141,"Whole mouse","apocrine gland"
EMAPA:29878,"Whole mouse","apoptotic germinal cell"
EMAPA:32729,"Whole mouse","appendicular skeleton"
EMAPA:19086,"Whole mouse","appendix epididymis"
EMAPA:19087,"Whole mouse","appendix testis"
EMAPA:18232,"Whole mouse","aqueous humour"
EMAPA:32659,"Whole mouse","arachnoid mater"
EMAPA:18602,"Whole mouse","arch of aorta"
EMAPA:17613,"Whole mouse","arch of aorta"
EMAPA:28215,"Whole mouse","arcuate artery"
EMAPA:19236,"Whole mouse","arcuate ligament"
EMAPA:35142,"Whole mouse","arcuate nucleus"
EMAPA:28221,"Whole mouse","arcuate vein"
EMAPA:35143,"Whole mouse","area postrema"
EMAPA:17242,"Whole mouse",arm
EMAPA:17413,"Whole mouse",arm
EMAPA:17243,"Whole mouse","arm ectoderm"
EMAPA:17244,"Whole mouse","arm mesenchyme"
EMAPA:35144,"Whole mouse","arterial blood vessel"
EMAPA:16201,"Whole mouse","arterial system"
EMAPA:35145,"Whole mouse","arterial system endothelium"
EMAPA:35146,"Whole mouse",arteriole
EMAPA:35147,"Whole mouse",artery
EMAPA:35148,"Whole mouse","artery endothelium"
EMAPA:35149,"Whole mouse","articular cartilage"
EMAPA:35150,"Whole mouse","articular system"
EMAPA:18695,"Whole mouse","arytenoid cartilage"
EMAPA:17652,"Whole mouse","arytenoid swelling cartilage condensation"
EMAPA:17387,"Whole mouse","arytenoid swelling pre-cartilage condensation"
EMAPA:25959,"Whole mouse","ascending aorta"
EMAPA:17014,"Whole mouse","ascending aorta"
EMAPA:35151,"Whole mouse","ascending colon"
EMAPA:18604,"Whole mouse","ascending thoracic aorta"
EMAPA:27925,"Whole mouse","associated interstitium of capillary loop renal corpuscle"
EMAPA:29874,"Whole mouse","atretic follicle"
EMAPA:35152,"Whole mouse","atrioventricular bundle"
EMAPA:16546,"Whole mouse","atrioventricular canal"
EMAPA:17618,"Whole mouse","atrioventricular cushion tissue"
EMAPA:35153,"Whole mouse","atrioventricular node"
EMAPA:35154,"Whole mouse","atrioventricular valve"
EMAPA:32746,"Whole mouse","atrium cardiac muscle"
EMAPA:32745,"Whole mouse","atrium endocardial lining"
EMAPA:35156,"Whole mouse","auditory cortex"
EMAPA:17280,"Whole mouse","auditory hillocks"
