NPL_OID,NPL_PERSPECTIVE_FK,NPL_NODE_FK
424,Renal,26993
425,Renal,27001
426,Renal,27007
427,Renal,27017
428,Renal,27026
429,Renal,27035
430,Renal,27055
431,Renal,28766
432,Renal,28767
433,Renal,28768
434,Renal,28769
435,Renal,28770
436,Renal,28771
437,Renal,28772
438,Renal,28773
439,Renal,28774
440,Renal,28775
441,Renal,28777
442,Renal,28778
443,Renal,28779
444,Renal,28780
445,Renal,28784
446,Renal,28785
447,Renal,28786
448,Renal,28788
449,Renal,28789
450,Renal,28790
451,Renal,28792
452,Renal,28793
453,Renal,28794
454,Renal,28795
455,Renal,28796
456,Renal,28798
457,Renal,28802
458,Renal,28803
459,Renal,28804
460,Renal,30101
461,Renal,30102
462,Renal,30103
463,Renal,30104
464,Renal,30105
465,Renal,30106
466,Renal,30107
467,Renal,30108
468,Renal,30109
469,Renal,30110
470,Renal,30111
471,Renal,30112
472,Renal,30113
473,Renal,30114
474,Renal,30115
475,Renal,30116
476,Renal,30117
477,Renal,30118
478,Renal,30119
479,Renal,30120
480,Renal,30121
481,Renal,30122
482,Renal,30123
483,Renal,30124
484,Renal,30125
485,Renal,30126
486,Renal,30127
487,Renal,30128
488,Renal,30129
489,Renal,30130
490,Renal,30131
491,Renal,30132
492,Renal,30133
493,Renal,30134
494,Renal,30135
495,Renal,30136
496,Renal,30137
497,Renal,30138
498,Renal,30139
499,Renal,30140
500,Renal,30141
501,Renal,30142
502,Renal,30143
503,Renal,30144
504,Renal,30145
505,Renal,30146
506,Renal,30147
507,Renal,30148
508,Renal,30149
509,Renal,30150
510,Renal,30151
511,Renal,30152
512,Renal,30153
513,Renal,30154
514,Renal,30155
515,Renal,30156
516,Renal,30157
517,Renal,30158
518,Renal,30159
519,Renal,30160
520,Renal,30161
521,Renal,30162
522,Renal,30163
523,Renal,30292
524,Renal,30296
525,Renal,31624
526,Renal,31625
527,Renal,31626
528,Renal,31627
529,Renal,31628
530,Renal,31629
531,Renal,31630
532,Renal,31631
533,Renal,31632
534,Renal,31633
535,Renal,31634
536,Renal,31635
537,Renal,31636
538,Renal,31637
539,Renal,31638
540,Renal,31639
541,Renal,31640
542,Renal,31641
543,Renal,31642
544,Renal,31643
545,Renal,31644
546,Renal,31645
547,Renal,31646
548,Renal,31647
549,Renal,31648
550,Renal,31649
551,Renal,31650
552,Renal,31651
553,Renal,31652
554,Renal,31653
555,Renal,31654
556,Renal,31655
557,Renal,31656
558,Renal,31657
559,Renal,31658
560,Renal,31659
561,Renal,31660
562,Renal,31661
563,Renal,31662
564,Renal,31663
565,Renal,31664
566,Renal,31665
567,Renal,31666
568,Renal,31667
569,Renal,31712
570,Renal,31720
571,Renal,31721
572,Renal,31722
573,Renal,31723
574,Renal,31725
575,Renal,32606
576,Renal,32615
577,Renal,32617
578,Renal,32618
579,Renal,32619
580,Renal,32620
581,Renal,32621
582,Renal,32622
583,Renal,32623
584,Renal,32625
585,Renal,32626
586,Renal,32627
587,Renal,32628
588,Renal,32629
589,Renal,32630
590,Renal,32631
591,Renal,32632
592,Renal,32633
593,Renal,32634
594,Renal,32635
595,Renal,32638
596,Renal,32639
597,Renal,32645
598,Renal,32646
599,Renal,32647
600,Renal,32648
601,Renal,32649
602,Renal,32650
603,Renal,32651
604,Renal,32652
605,Renal,32653
606,Renal,32654
607,Renal,32655
608,Renal,32656
609,Renal,32657
610,Renal,32658
611,Renal,32659
612,Renal,32660
613,Renal,32661
614,Renal,32662
615,Renal,32663
616,Renal,32664
617,Renal,32665
618,Renal,32666
619,Renal,32667
620,Renal,32668
621,Renal,32669
622,Renal,32671
623,Renal,32672
624,Renal,32673
625,Renal,32674
626,Renal,32675
627,Renal,32676
628,Renal,32677
629,Renal,32678
630,Renal,32679
631,Renal,32680
632,Renal,32681
633,Renal,32682
634,Renal,32683
635,Renal,32684
636,Renal,32685
637,Renal,32688
638,Renal,33542
639,Renal,33544
640,Renal,33545
641,Renal,33546
642,Renal,33547
643,Renal,33548
644,Renal,33549
645,Renal,33550
646,Renal,33551
647,Renal,33552
648,Renal,33553
649,Renal,33555
650,Renal,33557
651,Renal,33558
652,Renal,33559
653,Renal,33560
654,Renal,33561
655,Renal,33562
656,Renal,33563
657,Renal,33564
658,Renal,33566
659,Renal,33567
660,Renal,33568
661,Renal,33570
662,Renal,33571
663,Renal,33572
664,Renal,33575
665,Renal,33576
666,Renal,33577
667,Renal,33578
668,Renal,33579
669,Renal,33580
670,Renal,33581
671,Renal,33582
672,Renal,33583
673,Renal,33584
674,Renal,33585
675,Renal,33586
676,Renal,33587
677,Renal,33588
678,Renal,33589
679,Renal,33590
680,Renal,33591
681,Renal,33592
682,Renal,33593
683,Renal,33594
684,Renal,33595
685,Renal,33596
686,Renal,33597
687,Renal,33598
688,Urogenital,10381
689,Urogenital,10389
690,Urogenital,10396
691,Urogenital,10400
692,Urogenital,10407
693,Urogenital,10415
694,Urogenital,10419
695,Urogenital,10422
696,Urogenital,10428
697,Urogenital,10434
698,Urogenital,10440
699,Urogenital,10446
700,Urogenital,10450
701,Urogenital,10454
702,Urogenital,10462
703,Urogenital,10468
704,Urogenital,10473
705,Urogenital,10478
706,Urogenital,10482
707,Urogenital,10487
708,Urogenital,10492
709,Urogenital,10510
710,Urogenital,10513
711,Urogenital,10516
712,Urogenital,10519
713,Urogenital,10523
714,Urogenital,10527
715,Urogenital,10531
716,Urogenital,10534
717,Urogenital,10537
718,Urogenital,10541
719,Urogenital,10546
720,Urogenital,10550
721,Urogenital,10560
722,Urogenital,11673
723,Urogenital,11683
724,Urogenital,11719
725,Urogenital,11747
726,Urogenital,11750
727,Urogenital,11754
728,Urogenital,11757
729,Urogenital,11760
730,Urogenital,11764
731,Urogenital,11768
732,Urogenital,11772
733,Urogenital,11775
734,Urogenital,11779
735,Urogenital,11912
736,Urogenital,11915
737,Urogenital,11922
738,Urogenital,11928
739,Urogenital,11932
740,Urogenital,11936
741,Urogenital,11940
742,Urogenital,11944
743,Urogenital,11947
744,Urogenital,11951
745,Urogenital,11955
746,Urogenital,11959
747,Urogenital,11962
748,Urogenital,11965
749,Urogenital,11969
750,Urogenital,11973
751,Urogenital,11976
752,Urogenital,11979
753,Urogenital,11982
754,Urogenital,11985
755,Urogenital,11988
756,Urogenital,11991
757,Urogenital,11994
758,Urogenital,11997
759,Urogenital,12004
760,Urogenital,12008
761,Urogenital,12023
762,Urogenital,12039
763,Urogenital,12048
764,Urogenital,12057
765,Urogenital,12074
766,Urogenital,12081
767,Urogenital,12088
768,Urogenital,12108
769,Urogenital,12117
770,Urogenital,12124
771,Urogenital,12131
772,Urogenital,12138
773,Urogenital,12146
774,Urogenital,12153
775,Urogenital,12161
776,Urogenital,12169
777,Urogenital,12177
778,Urogenital,12184
779,Urogenital,12191
780,Urogenital,12199
781,Urogenital,12207
782,Urogenital,12214
783,Urogenital,12221
784,Urogenital,12228
785,Urogenital,12235
786,Urogenital,12242
787,Urogenital,12250
788,Urogenital,12257
789,Urogenital,12264
790,Urogenital,12272
791,Urogenital,12280
792,Urogenital,12287
793,Urogenital,12295
794,Urogenital,12302
795,Urogenital,12306
796,Urogenital,12317
797,Urogenital,12322
798,Urogenital,12327
799,Urogenital,12341
800,Urogenital,12345
801,Urogenital,12349
802,Urogenital,12354
803,Urogenital,12358
804,Urogenital,12362
805,Urogenital,12367
806,Urogenital,12372
807,Urogenital,12376
808,Urogenital,12380
809,Urogenital,12383
810,Urogenital,12386
811,Urogenital,12389
812,Urogenital,12392
813,Urogenital,12397
814,Urogenital,12402
815,Urogenital,12406
816,Urogenital,12410
817,Urogenital,12414
818,Urogenital,12419
819,Urogenital,12424
820,Urogenital,12428
821,Urogenital,12433
822,Urogenital,12437
823,Urogenital,12441
824,Urogenital,12445
825,Urogenital,12449
826,Urogenital,12453
827,Urogenital,12460
828,Urogenital,12467
829,Urogenital,12473
830,Urogenital,12479
831,Urogenital,12483
832,Urogenital,12487
833,Urogenital,12493
834,Urogenital,12497
835,Urogenital,12515
836,Urogenital,12528
837,Urogenital,12539
838,Urogenital,12542
839,Urogenital,12545
840,Urogenital,12548
841,Urogenital,12551
842,Urogenital,12557
843,Urogenital,12563
844,Urogenital,12583
845,Urogenital,12600
846,Urogenital,12604
847,Urogenital,12608
848,Urogenital,12613
849,Urogenital,12622
850,Urogenital,12628
851,Urogenital,12640
852,Urogenital,12644
853,Urogenital,12649
854,Urogenital,12653
855,Urogenital,12657
856,Urogenital,12662
857,Urogenital,12667
858,Urogenital,12676
859,Urogenital,12715
860,Urogenital,12728
861,Urogenital,12734
862,Urogenital,12780
863,Urogenital,12794
864,Urogenital,12832
865,Urogenital,12839
866,Urogenital,12846
867,Urogenital,12853
868,Urogenital,12860
869,Urogenital,12867
870,Urogenital,12874
871,Urogenital,12881
872,Urogenital,12888
873,Urogenital,12902
874,Urogenital,12909
875,Urogenital,12916
876,Urogenital,12923
877,Urogenital,12930
878,Urogenital,12936
